,Alberto Cowboy,Jonas Sulzbach,Breno,Maxiane,Milena,Paulo Augusto,Samira,Marcelo,Aline Campos,Ana Paula Renault,Babu Santana,Brigido,Edilson,Jordana,Juliano Floss,Marciele,Pedro,Sarah Andrade,Sol Vega,Solange Couto
Alberto Cowboy,,❤️,💔,❤️,💼,💔,💔,❤️,❤️,🐍,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️
Jonas Sulzbach,❤️,,❤️,❤️,❤️,🍪,❤️,❤️,❤️,🌱,❤️,❤️,❤️,❤️,🌱,❤️,🎯,❤️,❤️,🎯
Breno,❤️,❤️,,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,🤮,🍪,❤️,🌱,❤️,❤️,❤️,❤️,❤️
Maxiane,❤️,❤️,❤️,,❤️,🍪,❤️,❤️,❤️,❤️,❤️,🌱,❤️,❤️,🌱,❤️,💔,❤️,❤️,❤️
Milena,❤️,❤️,❤️,❤️,,🎯,❤️,❤️,🍪,❤️,❤️,💼,❤️,❤️,❤️,❤️,❤️,❤️,❤️,🐍
Paulo Augusto,❤️,🌱,🌱,🌱,🌱,,❤️,❤️,❤️,🌱,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,🌱
Samira,❤️,❤️,❤️,❤️,❤️,❤️,,❤️,❤️,❤️,❤️,🤮,❤️,❤️,❤️,❤️,💔,❤️,❤️,💔
Marcelo,❤️,🤮,❤️,❤️,❤️,❤️,🤮,,💼,❤️,❤️,💔,❤️,❤️,❤️,❤️,🤥,🤮,❤️,❤️
Aline Campos,❤️,❤️,❤️,❤️,🌱,❤️,❤️,🌱,,🌱,❤️,❤️,❤️,❤️,🌱,❤️,❤️,❤️,❤️,❤️
Ana Paula Renault,❤️,🍪,❤️,❤️,❤️,❤️,❤️,❤️,💼,,❤️,🐍,❤️,❤️,❤️,❤️,💼,❤️,❤️,💔
Babu Santana,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️
Brigido,❤️,❤️,💼,❤️,💼,❤️,🐍,🍪,❤️,🎯,❤️,,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️
Edilson,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,,❤️,❤️,❤️,❤️,❤️,❤️,❤️
Jordana,❤️,❤️,❤️,❤️,💼,❤️,❤️,❤️,❤️,❤️,❤️,🍪,❤️,,❤️,❤️,🌱,❤️,❤️,💔
Juliano Floss,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,🍪,❤️,❤️,,❤️,❤️,❤️,❤️,❤️
Marciele,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,,❤️,❤️,❤️,🍪
Pedro,❤️,🍪,🐍,🐍,🐍,💔,❤️,🍪,💔,🐍,💔,💼,❤️,🎯,❤️,🐍,,❤️,❤️,💼
Sarah Andrade,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,🌱,❤️,❤️,❤️,❤️,🌱,❤️,❤️,,❤️,🍪
Sol Vega,❤️,❤️,❤️,❤️,🤮,❤️,❤️,❤️,❤️,❤️,❤️,🌱,❤️,❤️,🌱,❤️,❤️,❤️,,💼
Solange Couto,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,❤️,🍪,❤️,❤️,💔,❤️,❤️,
